Country/Territory,Total (km),Electrified (km),% of the total electrified,Area (km^2),Population(per km),Historical peak length (km),Nationalized or private,Data year
United States,"220,044","2,011",0.91%,44.69,"1,522","428,180 (1917)","Track ownership and freight mostly private, passenger mostly public",2019
China,"159,000","119,000",74.84%,60.61,"8,865","159,000 (2023)",Nationalized,2023
Russia,"105,000","54,054",51.48%,162.84,"1,367","105,000(2023)",Nationalized,2022
India,"68,584","64,244",97.64%,47.93,"21,038","68,584 (2023)",Nationalized with minimal private operators,2024
Canada,"49,422",129,0.20%,214.48,674,"69,636 (1940)",Freight - private  Passenger - public,2017
Germany,"33,351","20,851",62.52%,10.72,"2,482","61,498 (1910)",Nationalized with private operators,2023
Argentina,"36,966",190,0.51%,77.45,"1,117","47,500 (1957)",Both,2014
Australia,"32,924","3,448",10.47%,231.91,742,"41,843 (1962)",Both,2022
Brazil,"29,817","9,025",30.27%,299.6,"7,225","38,000 (1957)",Both,2014
France,"27,483","16,067",58.46%,22.78,"2,374","63,000 (1923)",Nationalized,2019
Japan,"27,311","20,534",75.19%,16.10,"5,451",,Both,2015
Italy,"24,567","12,205",49.68%,15.03,"3,026",,Nationalized with private operators,2023
Mexico,"23,389",802.7,3.43%,114.43,"6,697","26,914",Majority of infrastructure nationalized. Private and public operators,2020
South Africa,"20,953","7,413",35.38%,58.28,"2,577",,Nationalized,2017
Romania,"20,077","6,600",32.87%,22.13,"1,823","23,955",Nationalized with private operators,2023
Ukraine,"19,787","9,319",47.1%,28.81,"2,140",,Nationalized,2019
Poland,"19,576","12,236",62.51%,16.28,"2,001","27,000 (1954)",Nationalized with private operators,2023
Iran,"16,998","2,200",12.94%,148.41,"6,816",,Nationalized,2014
Spain,"16,355","11,127",68.03%,31.73,"2,920","18,000+ (in 1950s)",Nationalized with private operators,2017
United Kingdom,"16,179","6,065",37.49%,15.10,"4,178","34,075 (1929)",State owned infrastructure with passenger operations contracted out in Britain and publicly run in Northern Ireland.,2023
Kazakhstan,"15,530","4,200",27.04%,175,"1,146",,Nationalized,2016
Turkey,"13,919","7,142",51.3%,76,"7,821",,Nationalized,2023
Myanmar,"11,025",0,0.00%,171.07,"12,127",,Nationalized,2006
Sweden,"10,912","8,186",75.02%,41,958,"16,900 (around 1938)",Nationalized with private operatorsMost services subject to franchising.,2021
Czech Republic,"9,567","3,237",33.84%,8.24,"1,106",,Nationalized with private operators,2017
Indonesia,"8,260",621,7.51%,219.31,"32,712","8,260",Nationalized,2023
Hungary,"7,945","2,889",36.36%,11.71,"1,233",,Nationalized with private operators,2017
Pakistan,"7,791",27.1,0.34%,117.74,"32,433","8,122 (in 1947)",Nationalized,2015
Egypt,"7,024",62,0.88%,153.43,"13,888",,Nationalized,2017
Chile,"6,634",0,0.00%,128.2,"2,931","8,930 (1930)",Nationalized,2006
Sudan,"6,084",0,0.00%,339.81,"5,640",,Nationalized,2006
Finland,"5,926","3,270",55.18%,57.06,929,,Nationalized,2017
North Korea,"5,735","3,894",67.9%,23.03,"4,595",,Nationalized,2006
Saudi Arabia,"5,590",453,8.10%,384.56,"6,254",,Nationalized,2019
Cuba,"8,193",0,0.00%,21.84,"2,215","14,152",Nationalized,2010
Belarus,"5,459",874,16.01%,38.03,"1,741",,Nationalized,2016
Switzerland,"5,317","5,317",100.00%,7.76,"1,631","5,868 (1930)","Both, but majority is nationalized",2020
Turkmenistan,"5,080",0,0.00%,153.44,"1,585",,Nationalized,2014
Austria,"4,859","3,650",75.12%,15.18,"1,587","7,166 (1930)",Nationalized with private operators,2022
South Korea,"4,837","3,787",78.29%,20.76,"10,716",,Nationalized,2020
Uzbekistan,"4,669","2,500",53.54%,94.8,"6,969","6,950",Nationalized,2020
Algeria,"4,560",480,10.53%,522.31,"9,061","4,815 (1930)",Nationalized,2022
Norway,"4,240","2,895",68.3%,76.36,1291,"4,471 (1950)",Nationalized with private operators,2023
New Zealand,"4,128",506,12.26%,64.64,"1,070","5,681 (1950)",Nationalized,2018
DR Congo,"4,096",852,20.80%,585.19,"16,463",,,2008
Thailand,"4,845",107,2.18%,126.04,"16,084",,Nationalized,2025
Bulgaria,"4,029","3,005",74.58%,27.55,"1,763",6507,Nationalized,2023
Serbia,"3,764","1,279",33.98%,23.48,"1,866",,Nationalized,2017
Slovakia,"3,626","1,587",43.77%,13.52,"1,499",,Nationalized,2017
Portugal,"2,527","1,791",70.87%,36.13,"4,049","3,622",Nationalized,2023
Belgium,"3,7","3,333",88.00%,8.48,"3,140","5,081 (1940)",Nationalized,2024
Bangladesh,"4,458",20,0.45%,33.30,"39,178","4,458",Nationalized,"2021, 2022"
Nigeria,"3,600",0,0.00%,261.84,"44,904",,Nationalized,2006
Vietnam,"3,315",0,0.00%,141.12,"27,765",,Nationalized,2023
Mozambique,"3,249",0,0.00%,256.54,"6,604",,,2008
Zimbabwe,"3,136",313,9.98%,130.25,"4,190",,Nationalized,2010
Netherlands,"3,055","2,314",75.74%,13.59,"5,591","3,407 (1920)",Nationalized with private operatorsRural lines subject to franchising.,2017
Azerbaijan,"2,944","1,278",43.41%,41.88,"4,666",,Nationalized,2015
Uruguay,"1,791",0,0.00%,58.88,"1,121","2,961",Nationalized,2006
Bolivia,"1,954",0,0.00%,383.32,"3,638","3,692 (1997)",Nationalized,2011
Angola,"2,761",0,0.00%,451.54,"6,911","2,764",Nationalized,2006
Syria,"2,750",0,0.00%,86.57,"11,078",,Nationalized,2010
Tanzania,"2,600",440,15.40%,348.02,"15,866",,Nationalized,2006
Croatia,"2,604",985,37.83%,21.71,"1,595",,Nationalized,2017
Kenya,"2,541",0,0.00%,228.4,"17,643",,Nationalized,2013
Namibia,"2,382",0,0.00%,346.05,877,,Nationalized,2006
Greece,"2,240",764,34.11%,58.91,"4,808","2,632 (1940)",Semi-Privatized,2017
Ethiopia,"2,185","1,401",64.12%,"1,675.72","150,935",,Nationalized,2016
Tunisia,"2,165",0,0.00%,75.57,"5,326","2,173 (1950)",Nationalized,2018
Morocco,"2,109","1,022",48.46%,211.74,"16,946",,Nationalized,2017
Malaysia,"2,041","1,028",50.37%,162.06,"15,383",,Nationalized,2021
Iraq,"2,032",0,0.00%,215.71,"15,587","2,029(1985)",Nationalized,2006
Peru,"2,020",0,0.00%,636.25,"14,585","4,205 (1930)",Private,2008
Denmark,"2,610",964,36.93%,21.69,"2,893","5,290 (1931)","Nationalized,rural lines franchised",2017
Lithuania,"1,910",156,8.17%,33.8,"1,490","2,147 (1950)",Nationalized,2021
Latvia,"1,860",257,13.82%,35.11,"1,048","2,763 (1920)",Nationalized,2017
Mongolia,"1,810",0,0.00%,864.15,"1,560",,Nationalized,2008
Taiwan,"1,782","1,300",72.95%,21.25,"13,638","5,000",Nationalized (Conventional network)Private (High-Speed network),2018
Ireland,"1,680",53,3.15%,41.83,"3,065","4,354 (1921)",Nationalized,2016
Colombia,"1,663",0,0.00%,648.85,"27,770",,Private,2007
Georgia,"1,576","1,288",81.73%,44.23,"2,360",,Nationalized,2016
Sri Lanka,"1,561",0,0.00%,43.51,"13,696","1,530 (1930–1940)",Nationalized,2024
Israel,"1,511",700,46.32%,14.61,"6,487",,Nationalized,2024
Uganda,"1,244",0,0.00%,930.65,"122,780",,Nationalized,2002
Zambia,"1,237",0,0.00%,608.42,"10,547",,,2006
Slovenia,"1,209",503,41.60%,16.75,"1,709",,Nationalized,2017
Estonia,"1,161",132,11.37%,38.96,"1,134","3,000",Both,2017
Moldova,"1,151",0,0.00%,29.4,"3,084",,Nationalized,2017
Bosnia and Herzegovina,"1,018",565,55.50%,50.29,"3,445",,Nationalized,2017
Cameroon,977,0,0.00%,486.63,"23,367","1,104",,2015
Ecuador,966,0,0.00%,293.54,"14,810","1,131 (1930)",,2006
